id,value
orissa,
orissa.abhinay,3 
orissa.aniruddha,2 
orissa.art,20 
orissa.black,4 
orissa.blue,1 
orissa.bow,1 
orissa.brahma,2 
orissa.chitralekha,1 
orissa.colors,5 
orissa.cow,1 
orissa.dance,11 
orissa.decoration,1 
orissa.dolls,1 
orissa.drums,2 
orissa.Durga,3 
orissa.food,1 
orissa.formations,1 
orissa.gopikas,7 
orissa.gotipua,8 
orissa.groom,2 
orissa.gum,1 
orissa.guru,1 
orissa.gurukul,1 
orissa.hall,1 
orissa.iconography,4 
orissa.incomplete,1 
orissa.krishna,10 
orissa.lotus,2 
orissa.mangalacharan,1 
orissa.marble,1 
orissa.metadata,1 
orissa.modern,1 
orissa.museum,1 
orissa.music,3 
orissa.namaste,1 
orissa.narrative,2 
orissa.paint,8 
orissa.painting,8 
orissa.pallav,1 
orissa.pattachitra,25 
orissa.performance,2 
orissa.procession,3 
orissa.puppets,1 
orissa.raghurajpur,6 
orissa.red,1 
orissa.shell,1 
orissa.shiva,5 
orissa.show,1 
orissa.song,1 
orissa.surrogate,2 
orissa.temple,1 
orissa.usha,4 
orissa.walls,10 
orissa.war,3 
orissa.wedding,5 
orissa.white,4 
orissa.yellow,1 
orissa.yog,2 
orissa.yoga,1 
orissa.youth,1 
